image_name,label,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
youtuber_11517.png,Caido,0.7924303,0.6132909,0.7996469,0.631989,0.8003773,0.60324526,0.77864045,0.6938415,0.78710747,0.629109,0.71050465,0.736237,0.728042,0.68287045,0.61614853,0.7376053,0.6433227,0.6696823,0.54261756,0.7604619,0.0,0.0,0.57489485,0.6779117,0.58973783,0.6461245,0.5432162,0.44767112,0.5590408,0.4396029,0.5125497,0.24152136,0.5282125,0.2284439
000000439773.jpg,Caido,0.6253013,0.28890222,0.6624219,0.2356949,0.5960737,0.23482925,0.70633644,0.23871407,0.55553454,0.23319364,0.7323608,0.34533647,0.56519455,0.30071986,0.6589543,0.5590381,0.47729245,0.4257348,0.5204917,0.53270215,0.40802422,0.4962728,0.8586983,0.26855618,0.7714343,0.2629072,0.9505259,0.25764012,0.8716721,0.19530793,0.9675134,0.120664924,0.9076466,0.08193239
055050414.jpg,Caido,0.3721035,0.38605103,0.37342724,0.3418808,0.3485856,0.36738402,0.37835053,0.31146201,0.30599052,0.36947396,0.4139478,0.40928158,0.30630475,0.46508154,0.40578437,0.64103717,0.31193882,0.60208803,0.32517096,0.8227771,0.30814567,0.7471877,0.5390806,0.6158057,0.45221192,0.6986348,0.7158465,0.63295114,0.5110675,0.8622564,0.8920824,0.60492915,0.73555934,0.8282703
000000494052.jpg,Caido,0.15686311,0.41158286,0.15472804,0.3845142,0.14161627,0.4075938,0.16075948,0.34757614,0.12621562,0.40226847,0.20274602,0.36519337,0.12834136,0.42068365,0.25234857,0.462119,0.10642165,0.50825524,0.22632983,0.5849603,0.07427591,0.60641754,0.29680556,0.40965432,0.2535222,0.44997442,0.36087972,0.49651906,0.31442887,0.5355016,0.44856817,0.58347964,0.39160547,0.59541637
img4_853.jpeg,Caido,0.66978115,0.6568729,0.677087,0.6782066,0.6853518,0.637484,0.0,0.0,0.6889326,0.588914,0.64226526,0.67672724,0.64655703,0.5006334,0.6671547,0.7920369,0.67762053,0.49477422,0.74795604,0.7007111,0.7494798,0.6323528,0.49148765,0.56620157,0.46617326,0.4591303,0.50687087,0.766583,0.38545188,0.66815037,0.3092206,0.78604126,0.20087914,0.6863734
000000270883.jpg,Caido,0.71997315,0.31984368,0.7345841,0.3201993,0.71305823,0.31469545,0.7458941,0.37462226,0.6964978,0.3514997,0.76933444,0.4394711,0.6763963,0.38816705,0.839735,0.3797651,0.70409006,0.29570875,0.8193884,0.28763828,0.77354205,0.26877758,0.6044386,0.5841651,0.5543944,0.51818585,0.44087186,0.6809213,0.4189283,0.61915386,0.2337294,0.7697368,0.23625398,0.7281064
youtuber_10450.png,Caido,0.7862085,0.62270224,0.7986837,0.6375722,0.7894154,0.60493535,0.7845141,0.6998801,0.76779586,0.62556505,0.70961994,0.73888737,0.72536385,0.67589927,0.61249405,0.7507465,0.6413124,0.6664648,0.5397116,0.76339227,0.0,0.0,0.5552534,0.68645597,0.56319135,0.64358103,0.4812532,0.47010624,0.4908239,0.46025157,0.4160988,0.26600993,0.42227194,0.27226573
img12_51.jpeg,Caido,0.0,0.0,0.49538293,0.67330784,0.0,0.0,0.5147472,0.66960853,0.0,0.0,0.5344249,0.71908665,0.57479835,0.69114536,0.5386554,0.81420594,0.0,0.0,0.4883797,0.8021284,0.0,0.0,0.65482825,0.7994091,0.68179476,0.79947,0.74821347,0.87977076,0.7693793,0.83982104,0.871805,0.84326494,0.8904791,0.8167126
066249846.jpg,Caido,0.2750954,0.45628926,0.0,0.0,0.26660025,0.4480202,0.0,0.0,0.24337815,0.46992788,0.24923138,0.5183217,0.22437428,0.5811914,0.26491258,0.59071875,0.19620764,0.72828513,0.30251867,0.5952013,0.23916061,0.8357001,0.32628646,0.6626826,0.3191433,0.71481323,0.43535376,0.64748263,0.4375065,0.7039809,0.55529076,0.701569,0.5593961,0.74543154
0_10.jpeg,Caido,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52176934,0.35794052,0.41800234,0.40967178,0.5362577,0.44256216,0.2929686,0.47485456,0.6542038,0.514768,0.25059265,0.5816588,0.7712071,0.51791066,0.44842154,0.6236024,0.538547,0.6368457,0.3747974,0.7626544,0.6277039,0.8056105,0.2979097,0.86378765,0.7530293,0.7183456
